What is your primary means of transportation to and from the U. Washington?,"On average, how many minutes does it take you to get to the U. Washington from your home?","In an average week, how many days are you on the UW campus?",How often do you… [use the light rail or bus?],How often do you… [go to downtown Seattle?],How often do you… [use a mobile phone while walking?],How often do you… [travel on a road that requires a toll?],How often do you… [use a Lime Bike/Uber e-bike?],"On average, how many days in a week (out of 7 days) do you use Uber/Lyft or other ride hailing apps?",What is your primary reason for using an Uber/Lyft?,"In the past 7 days, how many rides did you hail using an Uber/Lyft app? ","In the past 7 days, how much did you spend on Uber/Lyft or other ride hailing apps (in US dollars)?",How often do you: [share an Uber/Lyft ride with someone you did not know],How often do you: [work or do homework in an Uber/Lyft],How often do you: [observe the Uber/Lyft driver talk on their cell phone while driving],How often do you: [observe the Uber/Lyft driver violating a traffic law],How often do you: [rate the Uber/Lyft driver],"On average, how many days in a week (out of 7 days) do you drive?",Please rate how often you do the following activities. [Speed up at a yellow traffic light],Please rate how often you do the following activities. [Honk at the vehicle in front],Please rate how often you do the following activities. [Drive 5 miles over the posted speed],Please rate how often you do the following activities. [Drive 10 miles over the posted speed],Please rate how often you do the following activities. [Check your phone while driving],Please rate how often you do the following activities. [Use your phone when stopped at an intersection],Please rate how often you do the following activities. [Interact with in-vehicle entertainment systems while driving],Please indicate how much you agree or disagree with the following statements. [My driving skills are better than the average person],Please indicate how much you agree or disagree with the following statements. [Bicyclists should not be riding in the same lanes as cars],Please indicate how much you agree or disagree with the following statements. [Driving next to large trucks is stressful],"In the past 5 years, how many times have you been involved in a car crash? ","In the past 5 years, how many times have you received a ticket for a moving violation? ",Please indicate how much you agree or disagree with the following statements. [I choose my mode of transport based on weather],Please indicate how much you agree or disagree with the following statements. [I am often frustrated with Seattle traffic],Please indicate how much you agree or disagree with the following statements. [Autonomous (driverless) cars will be safer than human operated cars],Please indicate how much you agree or disagree with the following statements. [Pedestrians should not look at their mobile phones while walking],Please indicate how much you agree or disagree with the following statements. [Bicyclists in Seattle are too aggressive],Please indicate how much you agree or disagree with the following statements. [Seattle public transportation is reliable],Please indicate how much you agree or disagree with the following statements. [I think the UW provides a quality education],How often... [does traffic impact the time you arrive at work/school],How often... [does the traffic impact the time you leave work/school],"How often... [do you properly sort waste into trash, recyclables and compost]",Are you:,Are you:,How old are you?,Do you rent or own your current living space?,What navigation app do you use most often?,Do you live with a significant other or other family members?,How many people live in your household?,How many children under 6 years old live in your household?,How many vehicles are in your household?  ,Do you have a US driver's license?,How old were you when you got your driver's license?,Are you a:,Do you plan to vote in the next presidential election? 
Bus,15,3-4 days,Sometimes,Rarely,Always,Rarely,Rarely,1,I don't drive,1,20,Often,Often,Rarely,Rarely,Often,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Rarely,Rarely,Always,Student,Male,23,Rent,Google Maps,No,,,,No,,F1,
Walk,10,Every weekday (M-F),Never,Sometimes,Often,Never,Sometimes,1,Convenience,2,9,Always,Never,Never,Never,Often,0,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Rarely,Always,Student,Female,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,25,Every weekday (M-F),Always,Often,Never,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Never,Never,Always,Student,Male,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,7,"Every day, including weekends",Often,Sometimes,Often,Never,Often,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Never,Never,Often,Student,Male,24,Rent,Google Maps,No,,,,No,,Grad student ,
Bus,10,3-4 days,Often,Sometimes,Sometimes,Sometimes,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Sometimes,Rarely,Always,Student,Female,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,5,3-4 days,Sometimes,Sometimes,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Sometimes,Sometimes,Always,Student,Female,21,Rent,Google Maps,No,,,,Yes,21,US Citizen,Yes
Bus,30,3-4 days,Sometimes,Sometimes,Sometimes,Never,Sometimes,1,Do not want to drive when intoxicated,1,15.55,Sometimes,Always,Rarely,Rarely,Always,2,Often,Never,Often,Sometimes,Rarely,Always,Often,Neither agree nor disagree,Strongly disagree,Somewhat agree,0,0,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Always,Student,Female,29,Rent,Google Maps,Yes,2,0,1,Yes,18,Other non-US citizen status,
Bus,10,3-4 days,Often,Sometimes,Often,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Female,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,20,3-4 days,Sometimes,Rarely,Often,Rarely,Never,5,I don't drive,0,0,Sometimes,Never,Often,Never,Sometimes,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Often,Student,Female,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,"Every day, including weekends",Always,Rarely,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Always,Always,Always,Student,Female,24,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Bike,10,Every weekday (M-F),Rarely,Rarely,Rarely,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Rarely,Rarely,Often,Student,Male,29,Rent,Google Maps,Yes,2,0,1,Yes,17,US Citizen,Yes
Bus,15,Every weekday (M-F),Often,Rarely,Always,Rarely,Never,1,Convenience,1,20,Sometimes,Never,Rarely,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Sometimes,Student,Male,27,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Bus,25,Every weekday (M-F),Often,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,3,Often,Rarely,Often,Rarely,Rarely,Sometimes,Often,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,0,0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Often,Sometimes,Always,Student,Male,29,Rent,Apple Maps,No,,,,Yes,22,US Citizen,Yes
Bus,20,3-4 days,Always,Rarely,Always,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Never,Never,Always,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,30,Every weekday (M-F),Often,Often,Often,Sometimes,Never,0,,,,,,,,,1,Sometimes,Never,Sometimes,Sometimes,Never,Rarely,Rarely,Somewhat disagree,Neither agree nor disagree,Somewhat agree,0,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Sometimes,Rarely,Often,Faculty/Staff,Male,65,Own,Google Maps,Yes,3,0,1,Yes,17,US Citizen,Yes
Bus,60,Every weekday (M-F),Always,Never,Rarely,Never,Never,0,,,,,,,,,1,Rarely,Rarely,Often,Never,Never,Never,Never,Somewhat agree,Neither agree nor disagree,Somewhat agree,0,0,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Sometimes,Sometimes,Always,Student,Male,27,Rent,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Bus,20,1-2 days,Often,Rarely,Sometimes,Never,Never,1,I don't drive,1,3,Never,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Often,Sometimes,Often,Student,Female,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,10,3-4 days,Always,Sometimes,Often,Sometimes,Rarely,2,Convenience,3,18,Often,Never,Sometimes,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Rarely,Rarely,Always,Student,Male,23,Rent,Both google maps and Apple Maps,No,,,,Yes,18,Other non-US citizen status,
Bus,20,Every weekday (M-F),Rarely,Rarely,Often,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Often,Often,Always,Student,Female,24,Rent,Google Maps,Prefer not to say,,,,No,,Other non-US citizen status,
Walk,25,Every weekday (M-F),Often,Rarely,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Never,Never,Always,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Light rail,30,Every weekday (M-F),Always,Sometimes,Rarely,Never,Rarely,0,,,,,,,,,1,Sometimes,Rarely,Often,Often,Rarely,Rarely,Rarely,Somewhat agree,Strongly disagree,Neither agree nor disagree,0,0,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Never,Never,Always,Student,Male,24,Rent,Google Maps,Yes,2,0,1,Yes,16,US Citizen,Yes
Bus,20,Every weekday (M-F),Always,Rarely,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Rarely,Often,Often,Student,Male,23,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,25,Every weekday (M-F),Always,Rarely,Always,Sometimes,Rarely,1,I don't drive,2,,Rarely,Never,Never,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Often,Student,Female,23,Rent,Google Maps,No,,,,No,,Permanent Resident (Green Card Holder),
Walk,10,Every weekday (M-F),Often,Rarely,Always,Rarely,Never,1,Convenience,1,49,Often,Never,Always,Never,Always,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Often,Student,Male,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
