What is your primary means of transportation to and from the U. Washington?,"On average, how many minutes does it take you to get to the U. Washington from your home?","In an average week, how many days are you on the UW campus?",How often do you… [use the light rail or bus?],How often do you… [go to downtown Seattle?],How often do you… [use a mobile phone while walking?],How often do you… [travel on a road that requires a toll?],How often do you… [use a Lime Bike/Uber e-bike?],"On average, how many days in a week (out of 7 days) do you use Uber/Lyft or other ride hailing apps?",What is your primary reason for using an Uber/Lyft?,"In the past 7 days, how many rides did you hail using an Uber/Lyft app? ","In the past 7 days, how much did you spend on Uber/Lyft or other ride hailing apps (in US dollars)?",How often do you: [share an Uber/Lyft ride with someone you did not know],How often do you: [work or do homework in an Uber/Lyft],How often do you: [observe the Uber/Lyft driver talk on their cell phone while driving],How often do you: [observe the Uber/Lyft driver violating a traffic law],How often do you: [rate the Uber/Lyft driver],"On average, how many days in a week (out of 7 days) do you drive?",Please rate how often you do the following activities. [Speed up at a yellow traffic light],Please rate how often you do the following activities. [Honk at the vehicle in front],Please rate how often you do the following activities. [Drive 5 miles over the posted speed],Please rate how often you do the following activities. [Drive 10 miles over the posted speed],Please rate how often you do the following activities. [Check your phone while driving],Please rate how often you do the following activities. [Use your phone when stopped at an intersection],Please rate how often you do the following activities. [Interact with in-vehicle entertainment systems while driving],Please indicate how much you agree or disagree with the following statements. [My driving skills are better than the average person],Please indicate how much you agree or disagree with the following statements. [Bicyclists should not be riding in the same lanes as cars],Please indicate how much you agree or disagree with the following statements. [Driving next to large trucks is stressful],"In the past 5 years, how many times have you been involved in a car crash? ","In the past 5 years, how many times have you received a ticket for a moving violation? ",Please indicate how much you agree or disagree with the following statements. [I choose my mode of transport based on weather],Please indicate how much you agree or disagree with the following statements. [I am often frustrated with Seattle traffic],Please indicate how much you agree or disagree with the following statements. [Autonomous (driverless) cars will be safer than human operated cars],Please indicate how much you agree or disagree with the following statements. [Pedestrians should not look at their mobile phones while walking],Please indicate how much you agree or disagree with the following statements. [Bicyclists in Seattle are too aggressive],Please indicate how much you agree or disagree with the following statements. [Seattle public transportation is reliable],Please indicate how much you agree or disagree with the following statements. [I think the UW provides a quality education],How often... [does traffic impact the time you arrive at work/school],How often... [does the traffic impact the time you leave work/school],"How often... [do you properly sort waste into trash, recyclables and compost]",Are you:,Are you:,How old are you?,Do you rent or own your current living space?,What navigation app do you use most often?,Do you live with a significant other or other family members?,How many people live in your household?,How many children under 6 years old live in your household?,How many vehicles are in your household?  ,Do you have a US driver's license?,How old were you when you got your driver's license?,Are you a:,Do you plan to vote in the next presidential election? 
Bus,15,Every weekday (M-F),Often,Sometimes,Sometimes,Rarely,Never,1,Convenience,3,30,Never,Never,Rarely,Never,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Sometimes,Sometimes,Always,Student,Male,23,Rent,Google Maps,Prefer not to say,,,,No,,Other non-US citizen status,
Bus,20,"Every day, including weekends",Often,Sometimes,Sometimes,Rarely,Never,0,,,,,,,,,2,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Somewhat agree,Neither agree nor disagree,Somewhat disagree,1,0,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Always,Student,Male,24,Own,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Drive,25,1-2 days,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0,,,,,,,,,7,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,3 or more,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,,Student,Male,29,Own,Google Maps,No,,,,Yes,25,Other non-US citizen status,
Walk,5,Every weekday (M-F),Rarely,Rarely,Often,Sometimes,Never,0,,,,,,,,,1,Sometimes,Never,Rarely,Rarely,Sometimes,Often,Sometimes,Somewhat agree,Strongly agree,Somewhat agree,0,1,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Male,29,Rent,Google Maps,No,,,,Yes,25,Other non-US citizen status,
Walk,18,Every weekday (M-F),Sometimes,Rarely,Sometimes,Rarely,Often,3,I don't drive,5,35,Often,Never,Rarely,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Often,Student,Male,35,Rent,Google Maps,Yes,2,0,0,Yes,33,Other non-US citizen status,
Walk,15,3-4 days,Often,Sometimes,Often,Sometimes,Rarely,1,Convenience,1,8,Never,Never,Never,Never,Always,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Rarely,Sometimes,Rarely,Sometimes,0,,,,,,,,,3,Often,Never,Often,Rarely,Rarely,Rarely,Sometimes,Strongly agree,Strongly agree,Somewhat agree,0,2,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Often,Always,Student,Male,26,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,10,Every weekday (M-F),Sometimes,Rarely,Often,Rarely,Never,1,I don't drive,0,0,Rarely,Never,Never,Rarely,Often,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Never,Rarely,Often,Student,Female,23,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Walk,10,Every weekday (M-F),Often,Often,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Never,Never,Always,Student,Female,18,Rent,Apple Maps,No,,,,Yes,16,US Citizen,Yes
Walk,12,3-4 days,Rarely,Rarely,Often,Sometimes,Never,0,,,,,,,,,2,Rarely,Never,Often,Sometimes,Rarely,Rarely,Always,Somewhat agree,Somewhat agree,Somewhat agree,0,0,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Never,Never,Always,Student,Female,20,Rent,Google Maps,Yes,18,0,3,Yes,16,US Citizen,Yes
Walk,5,Every weekday (M-F),Sometimes,Rarely,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Never,Never,Often,Student,Female,19,Rent,Apple Maps,No,,,,Yes,16,US Citizen,Yes
Bus,15,Every weekday (M-F),Often,Sometimes,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Often,Primary language instructor and Phd student,Male,29,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,3-4 days,Always,Sometimes,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Always,Student,Female,24,Rent,Google Maps,Yes,5,0,1,No,,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Sometimes,Always,Rarely,Rarely,0,,,,,,,,,5,Sometimes,Rarely,Often,Often,Sometimes,Often,Sometimes,Neither agree nor disagree,Strongly agree,Strongly agree,0,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Often,Always,Student,Male,26,Rent,Google Maps,Yes,5,0,1,Yes,18,Other non-US citizen status,
Walk,25,3-4 days,Sometimes,Rarely,Sometimes,Rarely,Never,3,Weather-related,3,150,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Sometimes,Rarely,Sometimes,Student,Male,25,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Bus,5,1-2 days,Often,Rarely,Sometimes,Rarely,Rarely,1,Convenience,0,0,Often,Rarely,Rarely,Never,Often,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Always,Student,Male,24,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Walk,20,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,2,Convenience,3,30,Rarely,Rarely,Rarely,Rarely,Rarely,2,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Sometimes,Sometimes,Student,Male,23,Own,Apple Maps,No,,,,Yes,18,Chinese,
Walk,15,"Every day, including weekends",Rarely,Sometimes,Always,Never,Never,1,Convenience,1,40,Sometimes,Never,Never,Never,Rarely,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Always,Student,Female,19,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,5,Every weekday (M-F),Sometimes,Rarely,Often,Often,Never,1,Convenience,2,32,Never,Sometimes,Always,Often,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Always,Student,Male,18,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Rarely,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Rarely,Sometimes,Often,Student,Male,26,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,30,3-4 days,Rarely,Rarely,Rarely,Rarely,Rarely,3,Weather-related,5,30,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,2,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Rarely,Rarely,Student,Male,22,Rent,Apple Maps,Yes,6,0,1,Yes,19,Other non-US citizen status,
Bus,12,Every weekday (M-F),Often,Sometimes,Often,Often,Sometimes,2,Convenience,3,20,Often,Rarely,Rarely,Never,Often,2,Rarely,Rarely,Often,Often,Sometimes,Often,Often,Somewhat agree,Strongly agree,Somewhat agree,1,3 or more,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Sometimes,Often,Student,Male,24,Rent,Google Maps,Yes,2,0,1,Yes,22,Other non-US citizen status,
Drive + Bus,45,Every weekday (M-F),Always,Rarely,Sometimes,Sometimes,Never,0,,,,,,,,,7,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Never,Somewhat agree,Strongly agree,Somewhat agree,0,0,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Sometimes,Often,Often,Student,Female,27,Own,Google Maps,Yes,2,0,1,Yes,24,Permanent Resident (Green Card Holder),
Bus,15,3-4 days,Sometimes,Sometimes,Often,Rarely,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Often,Sometimes,Student,Male,24,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,10,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Rarely,Rarely,0,,,,,,,,,1,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Strongly agree,Strongly agree,Somewhat agree,1,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Never,Never,Always,Student,Male,20,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Light rail,10,"Every day, including weekends",Sometimes,Sometimes,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Sometimes,Sometimes,Often,Student,Female,18,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Sometimes,Often,Sometimes,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Always,Always,Always,Student,Female,23,Rent,Google Maps,No,,,,No,,Permanent Resident (Green Card Holder),
Walk,22,3-4 days,Rarely,Sometimes,Always,Rarely,Never,1,Convenience,0,0,Rarely,Never,Never,Never,Often,2,Rarely,Never,Often,Often,Rarely,Rarely,Never,Somewhat agree,Neither agree nor disagree,Strongly agree,0,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Never,Never,Often,Student,Female,22,Rent,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Drive,40,3-4 days,Sometimes,Sometimes,Sometimes,Often,Never,0,,,,,,,,,4,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Somewhat disagree,Strongly agree,Strongly agree,0,0,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Often,Sometimes,Often,Student,Female,38,Rent,Google Maps,Yes,2,,2,Yes,19,Other non-US citizen status,
Bus,25,Every weekday (M-F),Often,Sometimes,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Often,Sometimes,Often,Student,Female,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Drive,40,3-4 days,Never,Sometimes,Often,Always,Never,0,,,,,,,,,7,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,Somewhat agree,Strongly agree,Somewhat agree,0,2,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Always,Often,Often,Student,Female,29,Own,Google Maps,Yes,2,0,1,Yes,18,Other non-US citizen status,
Bus,40,3-4 days,Often,Rarely,Often,Rarely,Never,0,,,,,,,,,4,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Somewhat agree,Somewhat agree,Strongly agree,0,0,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Often,Sometimes,Student,Female,23,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Walk,30,Every weekday (M-F),Rarely,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Rarely,Rarely,Student,Male,30,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,3-4 days,Sometimes,Sometimes,Sometimes,Rarely,Never,2,Convenience,2,35,Sometimes,Never,Never,Never,Rarely,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Often,Often,Often,Student,Female,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,10,Every weekday (M-F),Sometimes,Sometimes,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Sometimes,Never,Often,Student,Female,24,Rent,Google Maps,No,,,,Yes,23,International student,
Bus,20,Every weekday (M-F),Often,Sometimes,Often,Sometimes,Never,1,Convenience,0,0,Never,Never,Rarely,Never,Always,2,Rarely,Never,Often,Sometimes,Rarely,Rarely,Rarely,Somewhat agree,Somewhat agree,Somewhat agree,0,0,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Always,Student,Male,28,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Walk,10,3-4 days,Often,Sometimes,Always,Rarely,Never,3,I don't drive,5,50,Rarely,Never,Often,Rarely,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Often,Often,Student,Female,22,Rent,Apple Maps,Yes,1,0,0,No,,Other non-US citizen status,
Bus,20,1-2 days,Rarely,Sometimes,Sometimes,Sometimes,Never,2,Weather-related,1,15,Always,Never,Sometimes,Sometimes,Always,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Often,Often,Often,Student,Female,27,Rent,Google Maps,Yes,4,0,2,No,,Other non-US citizen status,
Walk,20,3-4 days,Sometimes,Sometimes,Rarely,Rarely,Never,2,Convenience,4,50,Never,Never,Never,Never,Often,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Rarely,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Drive,15,Every weekday (M-F),Sometimes,Never,Always,Sometimes,Rarely,0,,,,,,,,,5,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Strongly agree,Neither agree nor disagree,Somewhat disagree,0,0,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Sometimes,Sometimes,Sometimes,Student,Male,26,Rent,Waze,Yes,2,0,2,Yes,7,Other non-US citizen status,
Bus,5,Every weekday (M-F),Always,Sometimes,Sometimes,Rarely,Never,1,I don't drive,1,5,Often,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Rarely,Never,Always,Student,,22,Rent,Google Maps,No,,,,Yes,19,Permanent Resident (Green Card Holder),
Bus,30,Every weekday (M-F),Often,Sometimes,Rarely,Sometimes,Never,0,,,,,,,,,2,Rarely,Never,Sometimes,Sometimes,Never,Never,Never,Neither agree nor disagree,Strongly agree,Somewhat agree,0,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Sometimes,Sometimes,Always,Faculty/Staff,Male,29,Rent,Google Maps,No,,,,Yes,25,Other non-US citizen status,
Bus,7,Every weekday (M-F),Always,Sometimes,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Rarely,Sometimes,Student,Male,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,Every weekday (M-F),Rarely,Rarely,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Sometimes,Sometimes,Student,Male,25,Rent,Google Maps,No,,,,No,,,No
Bus,95,3-4 days,Always,Sometimes,Sometimes,Rarely,Never,1,Do not want to drive when intoxicated,0,0,Never,Never,Rarely,Rarely,Sometimes,4,Often,Sometimes,Always,Sometimes,Sometimes,Sometimes,Rarely,Somewhat agree,Strongly agree,Neither agree nor disagree,1,1,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Always,Always,Sometimes,Student,Male,28,Own,Google Maps,Yes,2,0,2,Yes,16,US Citizen,No
Walk,15,3-4 days,Rarely,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Often,Often,Student,Female,23,Rent,Google Maps,Yes,3,0,0,No,,Other non-US citizen status,
Walk,20,Every weekday (M-F),Often,Sometimes,Often,Sometimes,Sometimes,1,Convenience,2,10,Sometimes,Never,Rarely,Rarely,Often,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Often,Student,Female,21,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,10,"Every day, including weekends",Rarely,Sometimes,Often,Never,Never,1,no other way to commute easily,0,0,Never,Never,Never,Never,Never,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Rarely,Rarely,Often,Student,Female,18,Rent,Do not use navigation apps,Prefer not to say,,,,No,,Other non-US citizen status,
Bus,20,Every weekday (M-F),Often,Often,Always,Rarely,Never,1,Convenience,3,30,Sometimes,Never,Rarely,Never,Often,0,,,,,,,,,,,,,,Neither agree nor disagree,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Rarely,Always,Student,Female,22,Rent,Google Maps,Prefer not to say,,,,No,,Other non-US citizen status,
Walk,25,Every weekday (M-F),Often,Rarely,Often,Rarely,Sometimes,1,Convenience,0,0,Often,Never,Rarely,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Rarely,Often,Student,Male,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,3-4 days,Often,Often,Often,Never,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Rarely,Sometimes,Often,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Often,Often,Sometimes,Rarely,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Rarely,Rarely,Always,Student,Female,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,3,"Every day, including weekends",Sometimes,Rarely,Always,Rarely,Never,1,Safety,0,0,Often,Never,Often,Rarely,Never,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Never,Never,Rarely,Student,Female,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Sometimes,Always,Never,Sometimes,1,Convenience,2,7,Sometimes,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Never,Never,Always,Student,Female,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Often,Sometimes,Sometimes,Never,Sometimes,1,Convenience,1,6.66,Rarely,Never,Never,Rarely,Always,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Never,Never,Sometimes,Student,Male,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,Every weekday (M-F),Always,Rarely,Often,Sometimes,Never,0,,,,,,,,,1,Often,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat disagree,Neither agree nor disagree,Strongly agree,0,0,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Often,Sometimes,Often,Faculty/Staff,Female,26,Rent,Google Maps,No,,,,Yes,15,US Citizen,Yes
Bus,20,3-4 days,Always,Sometimes,Always,Sometimes,Never,2,Convenience,2,20,Never,Never,Sometimes,Never,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Often,Often,Often,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Drive,6,Every weekday (M-F),Sometimes,Often,Often,Often,Rarely,0,,,,,,,,,7,Sometimes,Never,Often,Sometimes,Sometimes,Often,Rarely,Somewhat agree,Strongly agree,Somewhat agree,2,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Often,Often,Sometimes,Faculty/Staff,Male,25,Rent,Google Maps,No,,,,Yes,21,US Citizen,Have not decided
Walk,15,Every weekday (M-F),Rarely,Rarely,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Never,Never,Often,Student,Female,22,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Light rail,60,Every weekday (M-F),Sometimes,Rarely,Rarely,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Always,Student,Female,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,1-2 days,Sometimes,Sometimes,Often,Sometimes,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Always,Often,Student,Female,24,Rent,Apple Maps,Yes,1,0,0,Yes,18,Permanent Resident (Green Card Holder),
Walk,20,"Every day, including weekends",Often,Sometimes,Always,Rarely,Sometimes,1,Convenience,0,0,Sometimes,Never,Sometimes,Rarely,Sometimes,3,Often,Rarely,Always,Sometimes,Often,Often,Sometimes,Neither agree nor disagree,Strongly agree,Somewhat agree,1,0,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Often,Always,Often,Student,Male,21,Rent,Google Maps,No,,,,Yes,17,US Citizen,Yes
